poison_type,poison_fraction,accuracy,precision_macro,recall_macro,f1_macro,model_path
none,0.0,0.9833333333333333,0.9841269841269842,0.9833333333333334,0.9833229101521784,runs:/050715a2aaf74378be45c1f51f7c4544/model
feature_noise,0.05,0.9,0.9049919484702094,0.9,0.9000617225831423,runs:/231d51f3ac26420bac1b4486bb5753f6/model
feature_noise,0.1,0.8333333333333334,0.8428030303030303,0.8333333333333334,0.8333333333333334,runs:/824de65c21014058abbcdb0eebfdab14/model
feature_noise,0.5,0.5666666666666667,0.5601816484169425,0.5666666666666668,0.5618754643144888,runs:/9b3d021a0c7848d1b3deeb39970f651d/model
label_flip,0.05,0.8833333333333333,0.8894496204278813,0.8833333333333333,0.8812945106195249,runs:/0e9b930984bf4be2ab4b36032dd74680/model
label_flip,0.1,0.7333333333333333,0.7404401154401153,0.7312599681020734,0.7287616354424413,runs:/6c108eeae2994435a0b79b2225b8efe2/model
label_flip,0.5,0.36666666666666664,0.35669191919191917,0.3678780284043442,0.3420934411500449,runs:/d25f4037d0304a21af5bc7e0be344f46/model
